"","x"
"(Intercept)",-18.5561438832147
"Points",0.424791332700386
"Total_Rebounds",0.306538194929789
"Assists",0.412951073918045
"Steals",0.144373321230761
"Blocks",0.652233108541498
"Winning_Perc",9.77143268599631
