,X.1,Year,Name,Age,Team,Position,MPG,FGM3,FGA3,FGM2,FGA2,FTM,FTA,Offensive_Rebounds,Defensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,X,EST_Points,EST_FTM,EST_FTA,EST_FGM2,EST_FGA2,EST_FGM3,EST_FGA3,EST_MPG,EST_Offensive_Rebounds,EST_Defensive_Rebounds,EST_Total_Rebounds,EST_Assists,EST_Steals,EST_Blocks,EST_Turnovers,EST_Fouls,ESPN_Fantasy_Score,EST_ESPN_Fantasy_Score,Yahoo_Fantasy_Score,EST_Yahoo_Fantasy_Score,Likelihood
123,123,2022,Ayo Dosunmu,22,CHI,SG,19.8,0.7,1.7,1.8,3.2,0.6,1.1,0.4,1.7,2.1,1.2,0.4,0.4,0.9,1.8,6.3,32,5.887479493,0.742962507,1.038988247,1.543710495,3.163759727,0.739689587,2.342299743,12.79125163,0.171202509,1.19011895,1.361321459,2.138126358,0.43623353,0.095974285,0.922532851,1.069330574,12.5,11.31322377,12.12,11.40234537,0.000398929
124,124,2022,Bruce Brown,25,BRK,SF,22.1,0.3,1,2.7,5.1,0.6,0.8,1.3,3.2,4.5,1.2,1.2,0.5,0.7,2.7,6.9,163,10.37518704,1.558070761,2.095462294,3.658532155,6.386898875,0.557778203,1.631768054,24.67210607,1.490159907,3.939644319,5.429804226,2.343958573,0.918094027,0.481423373,1.090518997,2.334995076,19.2,24.34428048,18.5,23.51492317,0.000862996
125,125,2022,Andrew Wiggins,26,GSW,SF,31.4,2.2,5.3,4.7,8.8,2.6,3.6,1.1,3.2,4.3,1.9,0.9,0.6,1.6,1.8,18.6,211,19.21202589,2.742154184,3.781700782,5.236728472,9.898504802,2.039972043,5.467071422,32.11476028,1.142230328,3.638687543,4.780917871,2.46560076,0.862297177,0.879482128,1.693316113,2.128368686,30.4,32.69288053,29.51,32.17955028,0.306022688
126,126,2022,Joe Wieskamp,22,SAS,SG,5.9,0.6,1.4,0.4,0.5,0.3,0.6,0.2,0.3,0.5,0.3,0.2,0.2,0,0.5,2.9,46,4.26882229,0.558324118,0.694041703,0.682366503,1.390880282,0.637003737,1.769886791,10.81873125,0.214533559,1.496210149,1.710743708,0.819689713,0.46681073,0.139938026,0.485953006,0.957121113,6,9.053293995,5.15,8.885542571,1.52E-06
127,127,2022,Langston Galloway,30,TOT,SG,15.3,0.3,2.3,0.6,1.4,0,0,0.4,2.1,2.5,1.7,0.1,0,0.9,1,2,399,6.781794313,0.768335385,0.822236882,1.266337113,2.460130033,1.275427378,3.000491322,15.25984129,0.310822382,1.46499342,1.775815802,1.243693074,0.42318708,0.103945254,0.464602745,1.094270983,4.9,13.06875362,6.95,11.89510714,NA
128,128,2022,Deandre Ayton,23,PHO,C,30.7,0.1,0.3,7.4,11.5,2.1,3,2.9,8,10.9,1.5,0.8,0.9,1.7,2.3,17.1,289,16.74043126,2.284314534,2.948226568,6.857267022,11.18777422,0.249792928,0.676394882,31.7788953,3.243856867,7.330712948,10.57456982,2.001414933,0.789909746,1.240196788,1.822352897,2.823050572,36.8,37.72938298,35.83,36.70000414,0.730561518
129,129,2022,Jalen Green,19,HOU,SG,30.3,2,6.4,3.1,6.4,3,3.7,0.3,2.8,3.1,2.2,0.6,0.2,2.4,1.4,15,14,13.86442083,1.874297915,2.571986903,3.891994643,7.833540537,1.531076408,4.509754124,28.39484653,0.700462472,3.504927984,4.205390456,3.130901888,1.022751677,0.429501593,1.953016654,2.085220474,19.6,25.5708297,22.02,26.01098537,0.000584887
130,130,2022,Scotty Hopson,32,OKC,SG,18,0,1,2,3,0,0,0,1,1,1,0,0,2,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,4.7,NA,2.76E-06
131,131,2022,Gabriel Deck,26,OKC,PF,8,0.3,0.6,0.9,1.4,0,0,0.1,0.7,0.8,0.7,0.1,0,0.3,0.3,2.6,483,8.428199862,1.775625837,2.167102578,2.924616439,4.978984073,0.283983936,1.646025198,20.51953538,1.514302764,2.477123959,3.991426723,2.348497495,0.745224193,0.082196682,0.687516316,1.144628665,5.3,18.73597112,4.61,18.53540448,1.28E-06
132,132,2022,Jae Crowder,31,PHO,PF,28.3,1.9,5.4,1.3,2.7,1,1.3,0.3,4.5,4.8,1.4,1.2,0.5,0.9,2.3,9.3,333,9.461338224,1.067104059,1.364131854,1.04374702,2.159896126,2.23830665,5.871262843,25.26553559,0.47568665,4.033280777,4.508967427,2.052226796,0.826352743,0.425151099,0.951427544,1.983772568,21.8,21.65214675,21.36,20.75352331,0.011771634
133,133,2022,Darius Garland,22,CLE,PG,34.4,2.6,7,4.6,8.7,2.3,2.5,0.5,2.8,3.3,7.5,1.3,0.1,3.5,1.7,19.5,107,16.92331715,2.030645547,2.393119954,4.576547328,9.361563786,1.992901585,5.131653882,31.36050889,0.584918539,2.179386216,2.764304755,5.249950794,1.016073672,0.196693591,2.716159153,1.886931179,37.5,29.88238157,35.41,29.03755168,0.442744829
134,134,2022,Brodric Thomas,25,BOS,SG,4,0,0.9,0.1,0.4,0.3,0.3,0.3,0.4,0.7,0.7,0,0,0.4,0.1,0.6,496,4.427858058,1.019594562,1.385928818,0.951659124,1.942526217,0.591539634,1.962872633,14.24723885,0.392698322,1.691904697,2.084603019,0.966659533,0.512960604,0.338797631,0.682622657,1.405203367,0.8,9.893771813,2.09,10.25202303,2.20E-06
135,135,2022,Lauri Markkanen,24,CLE,PF,30.6,1.9,5.8,3.1,5.7,1.6,1.9,1.2,4.2,5.4,1.6,0.7,0.6,0.8,1.8,13.3,242,14.18976536,1.869994242,2.270971058,2.783376648,4.928407229,2.42935097,6.198152135,26.03387668,0.923134897,4.80020455,5.723339447,1.13135714,0.618857925,0.41866086,1.09398546,1.688367358,25.6,25.46519333,25.28,24.7733793,0.011927322
136,136,2022,Obi Toppin,23,NYK,PF,16.1,0.3,1.6,2.7,4.2,1.5,1.9,1,2.7,3.7,1,0.3,0.5,0.8,1.5,7.9,60,4.380302855,0.398451316,0.538889922,1.581429097,2.408304035,0.501603428,1.583779803,13.59938498,0.508277516,1.98600758,2.494285096,0.570105785,0.404519151,0.26011003,0.418692771,1.22348555,15.3,10.37107674,15.44,9.80379842,0.000225266
137,137,2022,Malcolm Brogdon,29,IND,PG,33.6,1.7,5.5,4.9,9.2,3.7,4.3,0.9,4.3,5.2,5.9,0.9,0.4,2.2,2,18.5,169,18.40057112,2.363159421,2.684195752,4.32693537,8.727949586,2.170198765,5.91583852,29.60652073,0.823962657,3.468136086,4.292098743,5.118452041,0.729298849,0.212281911,1.762171915,1.772841742,35.9,33.37119575,35.29,32.29133804,0.053777339
138,138,2022,Ty Jerome,24,OKC,SG,15.2,0.9,3.4,1.6,3.1,0.9,1.1,0.4,1.1,1.5,1.8,0.6,0.1,0.8,1.3,7,105,9.848216403,0.926879557,1.134379716,1.811159491,3.63709891,1.827049413,4.620592419,21.69983054,0.437531519,2.455373801,2.892905321,3.127823112,0.608207406,0.24271809,1.264524763,1.625000068,12.5,20.50969614,12.8,19.29968918,1.86E-05
139,139,2022,Jared Butler,21,UTA,SG,5.7,0.5,1.5,0.4,1.1,0.3,0.5,0.1,0.7,0.8,0.7,0.2,0.3,0.8,1,2.6,2,4.381523108,0.525279535,0.574494715,0.613575447,1.62081732,0.849181335,2.618987011,10.51279281,-0.279733507,0.400409232,0.120675725,1.349652204,0.546522645,0.047807122,0.670619358,1.040651244,4.7,7.723258981,5.31,7.663182227,3.80E-05
140,140,2022,Bol Bol,22,DEN,PF,5.8,0.1,0.3,1,1.6,0.1,0.4,0.3,1.1,1.4,0.4,0.1,0.1,0.3,0.3,2.4,136,5.466244581,1.031504837,1.389718582,1.510892485,2.994330914,0.555349848,1.330638328,10.81147042,0.357415531,1.656330127,2.013745658,1.094207433,0.328008867,0.552926489,0.869465781,1.080945949,4.9,11.4578665,4.98,11.29739081,8.03E-06
141,141,2022,Andre Iguodala,38,GSW,SF,20,0.6,2.4,1.1,1.7,0.5,0.6,0.7,2.7,3.4,4,0.9,0.7,0.8,1,4.3,384,2.3892159,0.204205579,0.392347407,0.271948119,0.379128054,0.795857016,2.565875215,16.94639956,0.445577156,2.296786842,2.742363998,1.991079268,0.703605893,0.553667974,0.778887207,1.23314255,20.3,12.38338168,18.38,11.65960599,0.001952364
142,142,2022,Jeremy Lamb,29,IND,SF,14.3,1,3,1.2,2.9,1.5,1.7,0.4,2,2.4,1.3,0.4,0.3,0.6,1.2,6.9,183,9.275200478,1.616899612,1.684417063,1.676206749,3.409677578,1.268717993,3.414095605,19.67703991,0.529728464,2.559515094,3.089243558,1.140556157,0.795581208,0.444198755,0.438576307,1.810988114,12.8,18.99480043,13.23,17.97389057,2.28E-05
143,143,2022,Paris Bass,26,PHO,SF,3.5,0,1,1,2,1,1,1,1,2,0,0.5,0,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,5.9,NA,0.000127149
144,144,2022,Anthony Davis,28,LAL,C,35.4,0.4,2.1,8.9,15.8,4.3,6,2.7,7.1,9.8,2.9,1.2,2,2.2,2.3,23.3,162,21.59695134,4.711837931,5.946535044,7.063873758,13.02673225,0.880575388,3.035062696,31.20847879,1.700806724,5.854932917,7.555739641,2.900554883,1.261223857,1.67329309,2.025981515,1.90295862,46.7,42.11288713,46.81,41.79224056,0.870631866
145,145,2022,Mikal Bridges,25,PHO,SF,34,1.4,3.7,3.4,5.8,1,1.2,0.9,3,3.9,1.8,1.2,0.4,0.8,1.9,12.2,204,13.0912867,1.690637147,2.046862132,3.250960532,5.2252142,1.733255928,4.288811838,31.14937141,1.004715402,3.293167526,4.297882928,2.293457179,1.258459394,0.762621562,1.046953924,1.952054405,25.8,29.79793779,23.58,26.70522093,0.03310987
146,146,2022,Bismack Biyombo,29,PHO,C,16.3,0,0,2.8,4,1.3,2,2,3,5,1,0.8,1.8,0.5,1.8,6.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1,NA,21.6,NA,0.008114795
147,147,2022,George King,28,DAL,SF,4.8,0,1,0,0.3,0.3,0.5,0,1.3,1.3,0,0,0,0.3,1,0.3,445,4.376087095,0.748929657,0.911371501,1.36507655,2.191338145,0.295262909,0.898558533,13.15177879,0.220521144,1.786605957,2.007127101,0.986910733,0.203286083,0.153971908,0.464498881,0.821415992,-0.5,9.220673169,1.56,8.872280808,3.12E-06
148,148,2022,Darren Collison,34,LAL,PG,12.3,0,1,0.7,1.3,0,0,0,1.3,1.3,0.7,0.3,0,0.3,1.7,1.3,492,8.824984597,1.37438991,1.450423327,2.295321994,4.311509959,1.049643877,2.724340183,22.20450348,0.118323979,1.647279968,1.765603947,3.907886234,0.819911327,0.099565834,1.447106204,1.481573097,3.7,19.81774931,4.51,18.11686396,4.17E-06
149,149,2022,Oshae Brissett,23,IND,SF,18.5,0.9,2.6,1.5,2.9,0.5,0.9,1.3,2.6,3.9,0.7,0.5,0.3,0.7,1.5,6.3,508,9.745119984,1.935139164,2.485448608,1.662472915,2.994632471,1.330052844,3.385693438,21.36035364,1.120392578,3.217834385,4.338226963,0.697824043,0.694160382,0.67262282,0.411755048,1.430053274,13.2,20.50708675,13.73,19.68632296,2.21E-05
150,150,2022,Stephen Curry,33,GSW,PG,34.5,4.9,12.8,3.6,7.4,4.4,4.8,0.6,4.8,5.4,6,1.4,0.5,3.4,2,26.3,401,28.27335592,5.091974305,5.490931756,4.566997509,7.827491886,4.490955947,11.69626274,29.75116649,0.451778831,4.313760332,4.765539163,5.627915207,1.076468169,0.144227018,2.832275212,1.840339621,45.8,46.1971066,44.08,43.26368608,0.988896925
151,151,2022,Isaiah Roby,23,OKC,PF,13.7,0.6,1.2,2,3.4,0.9,1.2,1.1,2.2,3.3,0.7,0.2,0.3,0.8,1.4,6.7,106,8.233349167,1.347343653,1.77759597,2.666328438,4.770134777,0.532752519,1.881671203,20.76408746,1.172529006,3.494463887,4.666992893,1.634313003,0.672510447,0.458609599,1.435120445,1.978952447,12.7,17.67206349,12.41,18.24344983,1.94E-05
152,152,2022,Lamar Stevens,24,CLE,PF,15.1,0.4,1.2,1.8,3.4,0.5,0.8,0.8,1.7,2.5,0.7,0.4,0.2,0.5,1.4,5.2,494,4.823189941,1.00310599,1.44601615,1.673735383,3.10206241,0.252881754,0.88362481,13.84928742,0.68153713,2.001917945,2.683455075,0.602259395,0.444534121,0.334389975,0.550671136,1.416812279,10.4,10.40303657,10.55,10.73282628,8.09E-05
153,153,2022,Davon Reed,26,DEN,SG,15.9,0.6,1.6,0.9,1.9,0.3,0.3,0.5,2.6,3.1,1.3,1,0.1,0.3,1.6,3.9,485,6.922796998,1.274093667,1.599033749,1.722705974,3.548710879,0.767981588,2.179425414,16.93253002,0.44946271,2.302682937,2.752145647,1.613872396,0.47952093,0.20892135,0.710716613,1.248508446,13.5,13.93130367,12.57,14.0007906,4.22E-05
154,154,2022,Mo Bamba,23,ORL,C,28.1,1.3,3.8,2.8,5.2,0.7,0.9,2.3,6.2,8.5,1.5,0.8,2.1,1.3,2.5,10.1,332,9.219497207,1.313069059,1.75722229,2.53882613,4.507659925,0.932523605,2.878216365,17.81949035,1.605183831,4.148515612,5.753699443,1.274684375,0.45123629,1.248425279,0.943786784,1.947673593,30.9,22.47883166,29.95,22.19116102,0.000435918
155,155,2022,Desmond Bane,23,MEM,SF,29.9,2.9,6.9,3.7,7.3,1.4,1.5,0.5,4,4.5,2.4,1.1,0.5,1.5,2.5,17.5,82,10.72379421,0.998559036,1.172467074,2.027615709,3.897091268,1.817035439,4.389289196,24.20767406,0.597460777,3.16737204,3.764832817,1.966080626,0.649770775,0.273919393,1.071829862,1.904310406,32,21.01793846,29.8,19.88995517,0.147722654
156,156,2022,George Hill,35,MIL,SG,25.4,0.8,2.7,1.7,3,1.1,1.1,0.8,2.3,3.1,2.4,0.8,0.1,0.9,1.4,6.9,397,6.51789308,0.860420607,1.019562758,1.316996642,2.395817449,0.998616769,2.561826029,18.20122912,0.433532914,1.231349329,1.664882243,1.959706909,0.614127559,0.116237643,0.626272327,1.055475516,16.7,14.28416326,16.02,13.02013541,0.000548977
157,157,2022,Brandon Ingram,24,NOP,SF,34.6,1.7,4.8,6.7,13.8,4.5,5.5,0.8,5.3,6.1,5.1,0.6,0.3,2.7,2,22.9,275,24.79897655,4.496216906,5.192191542,6.227229694,11.95460412,2.410911737,6.456039485,34.08090903,0.846551793,4.721256346,5.567808139,4.545213633,0.841384614,0.686599957,2.6156969,2.300708792,36.3,40.9183328,37.87,40.26642358,0.29990623
158,158,2022,Alec Burks,30,NYK,SG,27.7,1.9,4.7,1.7,4.6,2.6,3.2,0.5,3.8,4.3,2.5,1.3,0.3,0.9,2.3,11.8,168,10.67800281,1.946351804,2.166414599,1.955739461,4.447718236,1.854216082,4.511127077,22.7286705,0.422758429,3.415372015,3.838130444,1.884105451,0.57806839,0.243530353,0.879916345,1.770497764,24.9,20.1061255,24.61,19.6947974,0.002667234
159,159,2022,Kent Bazemore,32,LAL,SF,17,0.8,2.3,0.6,2,0.4,0.5,0.3,1.7,2,0.9,0.8,0.3,0.3,2.1,3.9,378,6.589794957,0.853693228,1.150414339,1.297668463,2.670316293,1.120173524,2.854707918,18.99280701,0.277597094,2.549059963,2.826657057,1.372549345,0.885476586,0.437555201,1.078593794,2.143426003,10.7,15.43060244,10.65,14.93110901,2.21E-05
160,160,2022,Isaac Bonga,22,TOR,SF,5.3,0.1,0.3,0.2,0.8,0.3,0.5,0.3,0.3,0.6,0.3,0.6,0.2,0.2,0.8,0.9,194,3.899221105,0.582155749,0.776359212,1.060941019,1.903156593,0.426967509,1.475169859,13.603246,0.721284456,1.778018394,2.49930285,0.970183401,0.482851157,0.301803867,0.634741677,1.719137171,4.3,10.03828215,4.27,10.07288302,3.25E-06
161,161,2022,Richaun Holmes,28,SAC,C,26.1,0.1,0.1,5.3,7.6,1.9,2.3,2.5,6.2,8.7,1.3,0.3,1,1.4,3.1,12.6,304,12.3967524,1.866267823,2.328929379,5.095059164,7.728164109,0.028664755,0.34447459,26.02783789,2.171964411,5.199658371,7.371622782,1.482434243,0.603543791,1.239818493,1.045111064,3.042567914,29.1,29.75728301,27.49,27.95132689,0.0045145
162,162,2022,Hamidou Diallo,23,DET,SG,22,0.4,1.5,4.1,7.2,1.2,2,1.1,3.5,4.6,1.3,1.3,0.4,1.1,2.4,10.8,341,11.49756428,2.179320419,3.292690059,3.69748734,7.24258895,0.630661564,1.945771967,23.22421365,1.132567135,3.721857359,4.854424494,2.050634385,0.781898643,0.429277498,1.475829307,2.280553685,22.5,21.33153231,22.27,22.55652437,0.000102082
163,163,2022,Wesley Matthews,35,MIL,SG,20.4,1.6,3.7,0.9,1.4,0.2,0.4,0.5,1.6,2.1,0.8,0.4,0.3,0.4,1.4,6.9,248,3.609191665,0.286518758,0.225508323,0.003395881,0.137999353,1.221405202,3.510205568,17.02661363,0.205298368,1.078040443,1.283338811,0.629242643,0.551996431,0.162053119,0.218450623,1.290185209,13.9,8.654125598,12.32,8.01676023,0.000224487
164,164,2022,Jaden McDaniels,21,MIN,PF,26.3,0.9,3.4,2.3,4.3,0.7,0.8,1.4,3.2,4.6,1.1,0.8,0.6,1.1,3.4,8.1,67,8.245777758,0.78889574,1.182587218,1.927919681,3.491647338,1.224413014,3.39037082,24.77008453,0.919353889,3.21140406,4.130757949,1.46463063,0.633391275,0.912183014,0.874208653,2.373633153,17.8,19.99304559,18.37,19.16214746,0.000306156
165,165,2022,Nathan Knight,24,MIN,PF,8.5,0.1,0.3,1,1.8,1.3,1.9,1,1.5,2.5,0.7,0.1,0.3,0.6,1.2,3.7,482,4.692815059,1.403840216,1.828965301,1.107454005,2.343460414,0.359908063,1.299355676,10.96813268,0.824030306,1.712335906,2.536366212,0.533602442,0.359588868,0.288801298,0.577594834,1.002614282,7.6,8.961448175,8.35,9.90443384,1.56E-05
166,166,2022,D.J. Wilson,25,TOR,PF,16,0,0.7,2.7,3,2.7,3.3,0.3,4.3,4.6,1.3,1.7,0.3,0.7,1.7,8,280,4.931089784,0.445466284,0.633464384,1.140477884,2.161022205,0.842792483,2.47469426,12.37544719,0.509925958,2.506032404,3.015958362,0.771730476,0.281067837,0.348601858,0.481717632,1.242350392,22.9,11.03137127,20.77,11.11512699,0.000426784
167,167,2022,Georges Niang,28,PHI,PF,22.7,1.9,4.9,1.6,3.1,0.9,1,0.3,2.2,2.5,1.3,0.5,0.2,0.7,2.5,9.8,334,7.32186158,0.496554324,0.665724009,1.058498023,2.11746478,1.581103053,3.926104565,16.48401386,0.356498959,1.945026854,2.301525813,1.226121385,0.317346038,0.109281167,0.790669378,1.427186512,17.1,12.8483664,16.15,12.41208687,0.000770646
168,168,2022,Saben Lee,22,DET,PG,15.7,0.5,2,1.5,3.2,1.4,1.9,0.4,2.1,2.5,2.5,1,0.4,0.9,1,6,89,7.174777129,1.517870872,2.144808291,2.326278127,4.612739165,0.418452446,1.011890342,18.74107782,0.586454711,1.999617029,2.58607174,3.749024289,0.735266978,0.379057099,1.3381086,1.706753062,16.1,18.69632322,16.05,17.90646328,1.10E-05
169,169,2022,Kevin Knox,22,NYK,SF,8.5,0.8,2.2,0.4,0.9,0.5,0.8,0.6,1.1,1.7,0.2,0.2,0.1,0.4,0.4,3.6,286,5.394003859,0.822316012,1.10128136,1.232950538,2.588697535,1.110182034,2.837098538,15.12613578,0.453510771,1.924036519,2.37754729,0.760415201,0.460139857,0.308444478,0.664069531,1.345273314,5.9,11.13026559,6.44,11.02936688,1.07E-05
170,170,2022,Collin Sexton,23,CLE,SG,28.7,1,4.1,5.2,9.6,2.6,3.5,1.2,2.1,3.3,2.1,0.9,0,2.8,2.3,16,278,23.26424219,4.595044691,5.656007281,6.724806207,13.17623888,1.767051018,4.64701923,33.20583258,1.039206769,2.472977147,3.512183916,4.031665205,0.918143833,0.234707507,2.577596139,2.339207939,20.3,34.16251437,23.01,34.40731858,0.016795473
171,171,2022,Kevin Love,33,CLE,PF,21.4,2.5,6.1,1.8,3.9,2.9,3.2,1.1,6.2,7.3,2,0.3,0.2,1.2,1,14.1,335,11.29097296,1.737708675,2.024854817,1.588048836,3.288210415,2.252014317,5.975675039,22.14618444,0.745739466,6.407783102,7.153522568,2.126782085,0.467389881,0.139812549,1.394609452,1.163277668,25.8,22.71875954,26.16,23.49237101,0.025378892
172,172,2022,Carmelo Anthony,37,LAL,PF,27,2.3,6,2.1,4.5,1.9,2.3,0.8,3.3,4.1,1,0.8,0.8,0.8,2.3,13.2,170,11.77206439,1.755183526,1.898814388,2.523791811,5.776646372,1.628095532,4.231556815,21.85439069,0.499405611,2.331925366,2.831330977,1.095778099,0.572541196,0.433454441,0.985999682,1.956490455,24.3,18.62697092,23.62,18.84531594,0.003153326
173,173,2022,OG Anunoby,24,TOR,SF,36,2.7,7.3,4.3,8.7,2.6,3.2,1.4,3.6,5,2.3,1.5,0.4,1.7,2.8,19.2,279,14.30554484,1.620466579,2.099120755,3.212828361,5.503465947,2.091491648,5.550696725,30.21461453,1.182635845,4.058634405,5.24127025,1.983881212,1.27415553,0.61544002,1.34450737,2.364056947,33.1,29.55125979,32.65,27.89517024,0.080970934
174,174,2022,Taj Gibson,36,NYK,C,19,0.2,0.6,1.3,2.4,0.6,0.8,1.6,2.9,4.5,0.8,0.5,0.9,0.7,2.5,3.7,358,2.795428349,0.339332347,0.5034998,1.537350441,2.115911515,-0.040294539,-0.064552066,15.5968619,1.728863882,2.39759326,4.126457142,0.210390867,0.407194641,0.752589542,0.304664886,1.723104812,14,12.11076455,13.8,11.23745088,5.95E-05
175,175,2022,Keldon Johnson,22,SAS,SF,30.7,1.6,3.7,4,8.7,1.9,2.8,1.1,5.3,6.4,1.7,0.8,0.1,1.3,1.8,14.8,110,13.42018638,2.393539706,3.089546112,3.83303634,7.083695077,1.079347936,2.922276195,27.41664529,1.118204783,4.248742592,5.366947375,1.817723344,0.750527941,0.367554071,1.17494634,1.990217061,25.1,24.74715462,26.43,24.76640794,0.002638635
176,176,2022,DeAndre Jordan,33,LAL,C,13,0,0,2,3,0.4,0.6,1.6,4,5.6,0.4,0.4,0.9,0.7,1.7,4.4,192,6.507623746,0.799237015,1.456174331,2.820948381,3.640392534,0.000731679,0.048854217,20.05702681,1.900139911,5.01606666,6.916206571,1.266916966,0.27443028,0.939065217,1.226498108,1.830612429,15.4,19.65655775,14.92,19.12143546,9.37E-05
177,177,2022,Braxton Key,24,PHI,SF,3,0,0.5,0.5,0.5,0,0,0.5,0.5,1,0.5,0.5,0,1,0.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3.45,NA,7.31E-06
178,178,2022,Drew Eubanks,24,SAS,C,12.7,0,0.2,1.7,3.2,1.4,1.8,1.1,2.8,3.9,1.1,0.3,0.7,1.1,1.4,4.9,253,6.471954791,1.461425558,1.969085648,2.018575318,3.546037969,0.187195675,0.523279195,14.94845824,1.230708499,2.939735581,4.17044408,0.899087565,0.344726911,0.787466093,0.819066749,1.56483402,12.4,15.35297293,13.13,15.4026313,1.97E-05
179,179,2022,Alfonzo McKinnie,29,CHI,SF,15.2,1,2.6,1.1,2.4,0.1,0.4,1.1,1,2.1,0.3,0.2,0.3,0.7,1.8,5.3,379,2.397671079,0.151951499,0.283429798,0.539564224,0.897216199,0.35637219,1.053884587,7.518682785,0.593304018,0.797461689,1.390765707,0.178267058,0.247373521,0.058550791,0.075723277,1.044782964,8.5,5.282887529,9.07,5.176040173,0.000163772
180,180,2022,Miles Bridges,23,CHO,PF,36.1,1.9,6,5.5,9.6,2.9,3.8,1.3,5.9,7.2,3.6,1.1,0.9,1.8,2.6,19.6,380,12.97972324,1.697650766,1.97054617,3.135134204,5.290147207,1.749336898,4.519462195,28.07659182,1.20194862,4.306503842,5.508452462,2.144737353,0.700256797,0.70959306,1.311591435,2.002215593,38.6,27.22964126,37.84,25.72493036,0.362591434
181,181,2022,Dejounte Murray,25,SAS,PG,34.4,1.4,4.3,6.6,13.6,1.7,2.4,1.2,7.1,8.3,8.9,2,0.4,2.4,2.1,19.1,265,15.28666326,1.748983495,2.158418004,5.050655909,10.39968394,0.973601093,3.13280202,30.28202613,0.898605087,5.67556689,6.574171977,4.930390903,1.415297604,0.266535,1.986155175,2.006899895,48.8,33.55683174,47.21,33.63059862,0.454213486
182,182,2022,Gary Clark,27,NOP,PF,11.1,1.1,2.4,0.1,0.3,0.2,0.4,0.5,2,2.5,0.4,0.3,0.2,0.3,0.3,3.6,367,4.783645074,0.301982728,0.416957708,0.708072082,1.504005608,1.122637928,3.532459893,18.44889887,0.919941827,2.532780629,3.452722456,0.748570352,0.378239339,0.407227788,0.453420731,1.232577568,8.9,11.60115275,8.4,11.9527482,5.03E-06
183,183,2022,Kyle Kuzma,26,WAS,PF,33.4,1.9,5.7,4.1,7.4,2,2.9,1,7.7,8.7,3,0.6,0.7,2.1,2,15.7,245,13.78347709,1.444785378,1.911269735,3.144378413,5.869042267,2.052641082,5.740039701,27.33970556,1.370657789,4.450387435,5.821045224,2.373584817,0.527074523,0.515530495,1.698088921,1.963356525,31.3,25.49704793,32.44,25.75883472,0.089510391
184,184,2022,Jordan Poole,22,GSW,SG,29.4,2.6,7.5,3.4,5.9,2.7,3,0.2,2.8,3,3.3,0.9,0.3,2.4,2.7,17.1,116,12.9314447,2.316776906,2.657590228,2.62975542,4.921849762,1.923002351,5.629635696,21.71024493,0.435671886,2.021629164,2.457301049,2.227362808,0.603580314,0.290286077,1.089110489,1.756259772,27.6,21.37693507,26.85,20.81373886,0.186638039
185,185,2022,Cade Cunningham,20,DET,PG,32.4,2.2,6.8,3.6,8,1.8,2.1,0.9,4.9,5.8,5.3,1.3,0.6,3.8,2.8,15.5,15,12.88999362,2.107335123,2.77250946,3.507438482,7.532982057,1.582551822,4.350261558,27.62225892,0.804269417,3.413128659,4.217398076,3.157906145,0.957280586,0.572406945,1.962430138,2.570472382,30.6,24.83120831,32.31,25.31436298,0.006412872
186,186,2022,Emmanuel Mudiay,25,SAC,PG,5.5,0,0,0,1,1.5,2,0,0,0,2,0.5,0,0.5,0.5,1.5,465,8.817837171,1.463893574,1.744353429,2.412770152,4.72492355,0.937449066,2.629391572,18.90184219,0.387459862,2.586188377,2.973648239,2.961207853,0.559965876,0.249919318,1.614845225,1.595012124,5,17.72686397,5.5,17.64283719,2.02E-06
187,187,2022,Tony Snell,30,POR,SG,12.6,0.6,1.7,0.2,0.6,0.1,0.1,0.3,1.2,1.5,0.6,0.2,0.1,0.3,1.1,2.3,188,4.848651976,0.090547612,0.085880257,0.744342042,1.532207025,1.345906903,2.636855748,20.41020558,0.322304758,1.928061462,2.25036622,1.284885757,0.330241067,0.225606879,0.305495532,1.533503707,5.5,12.64319981,5.6,10.83846838,2.34E-06
188,188,2022,Aaron Holiday,25,WAS,PG,16.7,0.6,1.6,2,3.8,0.6,0.7,0.1,1.5,1.6,1.9,0.6,0.2,0.9,1.5,6.2,419,8.76354323,1.280098892,1.615397594,1.959378122,4.319386037,1.249638858,3.210869596,19.40924413,0.368798636,1.811104605,2.179903241,2.671661915,0.681037488,0.273517708,1.125248679,1.626368951,13.3,17.65661221,12.47,17.1253369,9.03E-05
189,189,2022,Jaylen Hoard,22,OKC,SF,2,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2.4,NA,4.53E-07
