,X.1,Year,Name,Age,Team,Position,MPG,FGM3,FGA3,FGM2,FGA2,FTM,FTA,Offensive_Rebounds,Defensive_Rebounds,Total_Rebounds,Assists,Steals,Blocks,Turnovers,Fouls,Points,X,EST_Points,EST_FTM,EST_FTA,EST_FGM2,EST_FGA2,EST_FGM3,EST_FGA3,EST_MPG,EST_Offensive_Rebounds,EST_Defensive_Rebounds,EST_Total_Rebounds,EST_Assists,EST_Steals,EST_Blocks,EST_Turnovers,EST_Fouls,ESPN_Fantasy_Score,EST_ESPN_Fantasy_Score,Yahoo_Fantasy_Score,EST_Yahoo_Fantasy_Score,Likelihood
83,83,2022,Dorian Finney-Smith,28,DAL,PF,32.2,1.9,5.1,2,3.5,0.8,1.2,1.5,3.1,4.6,1.9,1.2,0.5,1,2.3,10.5,298,10.17572245,0.735429734,0.985357588,2.072814525,3.442012759,1.870869207,4.867922436,29.53597769,1.576143311,3.567629303,5.143772614,1.913614781,0.786457418,0.435093569,0.986564669,2.182810782,24.4,23.25817286,22.97,21.89676005,0.002350521
84,84,2022,Delon Wright,29,ATL,SG,17.4,0.5,1.3,1,2.1,0.7,0.8,0.8,2.1,2.9,2.5,0.8,0.2,0.7,0.6,4.2,345,8.633694707,1.167865787,1.49387093,2.404760328,4.707705524,0.908861853,2.545956092,24.22907586,0.857168127,2.887636687,3.744804814,3.740640236,1.24584847,0.386976917,1.166529737,1.242853448,14.7,24.01446152,13.73,22.47036726,2.61E-05
85,85,2022,Sharife Cooper,20,ATL,PG,3.5,0.1,0.6,0.2,0.8,0,0,0,0.5,0.5,0.5,0,0,0.5,0.1,0.7,3,4.159826412,1.04854444,1.264716332,1.086602102,2.571810514,0.240804578,1.482716735,9.107263874,0.097629435,0.742246243,0.839875678,3.566052119,0.337906063,0.051400549,1.377370319,1.122048859,0.5,9.559210935,1.55,10.30730492,9.69E-07
86,86,2022,Jarred Vanderbilt,22,MIN,PF,25.6,0.1,0.3,2.8,4.7,0.9,1.4,3.2,6,9.2,1.3,1.5,0.8,1.1,2.8,6.6,158,6.068456443,1.107983115,1.716391213,2.15944258,3.670983429,0.191846745,0.604295279,16.15075375,1.384012259,3.231530731,4.61554299,1.399546816,0.761408238,0.45996777,0.932884797,1.496028689,25.8,16.51356609,25.39,16.43767148,0.000907305
87,87,2022,Seth Curry,31,PHI,SG,34.8,2.3,5.5,3.8,6.4,1.7,2,0.4,2.9,3.3,3.9,0.8,0.2,1.9,2.2,16.2,238,12.18688766,1.221576535,1.516552442,2.31572457,4.606146268,2.167100524,4.820111147,26.16175039,0.231350912,1.951930621,2.183281533,2.684394523,0.663396514,0.089710063,1.207481766,1.613380818,29.8,21.74793841,27.11,19.88525525,0.043662104
88,88,2022,Enes Freedom,29,BOS,C,12.6,0,0.2,1.7,3,0.6,0.8,2.1,3,5.1,0.2,0.2,0.4,0.6,1.2,4.1,252,9.612682759,1.423793783,1.826610581,4.002021159,6.690386459,0.066670702,0.258624517,21.3514629,3.165069334,5.914357744,9.079427078,1.065268437,0.419895552,0.593508269,0.981753141,1.947627785,10.8,23.76498236,11.72,24.16435623,4.08E-05
89,89,2022,DeMarcus Cousins,31,MIL,C,16.9,0.8,2.8,2.5,4.1,1.8,2.2,1.4,4.4,5.8,1.1,0.9,0.5,0.9,2.7,9.1,473,8.958791837,1.579312043,2.075051941,2.023789175,4.109900176,1.031848184,3.142098916,17.48267372,1.336917662,5.044479753,6.381397415,1.861694248,0.838548349,0.644105588,1.609072524,2.46422138,21,21.17143236,21.01,22.24789939,0.002457338
90,90,2022,CJ McCollum,30,POR,SG,35.3,3.2,8.2,4.8,10.6,1.5,2.1,1.1,3,4.1,4.5,1.1,0.7,1.9,2.1,20.6,236,20.7190236,1.879967597,2.350872804,4.843195784,9.505621684,3.218875643,8.169929587,30.94916257,0.582579397,3.204010117,3.786589514,4.19062548,0.771995929,0.412099972,1.479891608,1.936894887,36.9,35.86002648,35.77,33.62126533,0.094341584
91,91,2022,PJ Dozier,25,DEN,SG,18.9,0.8,2.7,1.2,2.8,0.6,0.7,0.8,2.7,3.5,1.6,0.6,0.3,0.7,1.8,5.4,264,8.280391272,1.040217514,1.520652171,2.331672929,4.777299421,0.855950058,2.828550555,20.4095666,0.609446335,2.772165693,3.381612028,2.153666764,0.551492674,0.333095373,0.946025033,1.601063916,13.5,16.76055035,14,17.27656496,0.000109841
92,92,2022,Myles Turner,25,IND,C,29.4,1.5,4.4,3.3,5,1.9,2.5,1.5,5.5,7,1,0.7,2.8,1.3,2.8,12.9,190,12.82458324,2.268847957,2.827240038,2.877593472,4.866838912,1.459236699,4.307003994,29.29206154,1.288359487,4.919745006,6.208104493,1.003648155,0.817609279,2.53083834,1.171256412,2.922079726,34.4,32.49192375,32,30.65386731,0.005587257
93,93,2022,Danuel House Jr.,28,TOT,SF,14.5,0.7,2.2,0.8,2.2,1,1.1,0.3,2.2,2.5,1.2,0.3,0.3,1,1.1,4.7,424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.2,NA,10.3,NA,NA
94,94,2022,Trevelin Queen,24,HOU,SG,8.6,1,2.8,0.6,0.9,0.4,0.4,0.6,1.1,1.7,0.4,0.6,0,0.9,0.8,4.6,457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,8.14,NA,1.92E-06
95,95,2022,Landry Shamet,24,PHO,SG,20.5,1.7,4.6,0.9,2.1,1,1.1,0.2,1.8,2,1.5,0.5,0.1,0.6,1.1,7.8,230,10.23803391,1.39102915,1.672312465,1.350578307,2.817787615,2.19681699,5.608145659,24.23727702,0.281355793,2.05330448,2.334660273,1.883690114,0.568442467,0.286183746,0.92379169,1.935470055,14.1,18.49538688,13.65,17.50524836,0.001933719
96,96,2022,Brandon Knight,30,DAL,PG,18,1.3,4.3,1.7,2.3,2.7,2.7,0,2.3,2.3,2.7,0.3,0,1.3,1.7,10,452,8.42922042,1.016275334,1.472833414,1.408450465,2.770275302,1.782759461,5.111570856,19.0931215,0.284131774,1.775526736,2.05965851,3.249467659,0.522093026,0.171160115,1.626992325,1.617138523,17,16.33361724,16.41,16.22777922,0.000829473
97,97,2022,Devin Booker,25,PHO,SG,32.9,2.7,6.6,5.7,12.6,4.2,4.8,0.9,4.5,5.4,4.4,0.9,0.3,2.6,2.5,23.7,415,25.82517088,5.340406498,6.096305103,7.333419986,13.51714828,2.03022124,5.722369048,33.61496892,0.527963397,3.90463527,4.432598667,4.87805968,0.838736432,0.32641444,3.185234677,2.696275984,37.2,39.0661108,37.78,38.77159674,0.94958765
98,98,2022,Paul Millsap,36,BRK,PF,11.3,0.3,1.1,1.1,2.4,0.5,0.7,1.2,2.5,3.7,1,0.2,0.5,0.5,2,3.4,322,8.81956762,1.295347323,1.710002522,2.446448889,4.515100382,0.840196326,2.428032555,19.00090589,1.339358323,3.144273959,4.483632282,1.665324775,0.794173804,0.551981528,0.993083198,2.008780669,10.3,20.088003,10.94,19.74329632,0.000121776
99,99,2022,Javonte Green,28,CHI,SF,22.2,0.4,1.1,1.7,3.2,1.1,1.4,1.5,2.7,4.2,1,0.8,0.4,0.6,2.1,5.8,515,2.713281596,0.457138769,0.697482739,0.685762932,1.229048032,0.21049857,0.738519263,10.84902005,0.517652576,0.969868729,1.487521305,0.3941043,0.564131999,0.127222617,0.301640186,1.073256513,15.6,6.946259902,15.34,6.861887274,0.00059889
100,100,2022,Terry Rozier,27,CHO,SG,32.4,2.9,7.8,3.8,7.8,1.9,2.3,0.7,3.3,4,3.5,1.2,0.4,1.1,1.4,18.3,338,19.64274047,2.515380369,3.022167346,4.007749551,7.930657139,3.010462496,7.9355224,32.94134907,0.707181639,3.577124856,4.284306495,4.074395066,1.082096809,0.316469281,1.831253036,1.712416226,33.8,34.68151546,32.05,33.2599461,0.079419578
101,101,2022,Isaiah Stewart,20,DET,C,25.3,0.1,0.6,3.2,5.6,1.1,1.6,2.5,5.5,8,1.1,0.4,1.3,1.3,2.8,7.6,79,9.74618194,1.277777221,1.861158624,3.478264733,5.983804806,0.548646495,1.474554714,23.33451394,2.27088418,4.383105164,6.653989344,1.429138322,0.682976387,1.231198667,1.177311007,2.512769503,22,25.12125416,22.65,24.43989079,0.00010811
102,102,2022,Day'Ron Sharpe,20,BRK,PF,9.7,0.1,0.2,2.4,3.7,0.6,1.1,2,1.9,3.9,0.2,0.2,0.5,0.9,1.8,5.5,45,6.81769876,1.045232319,1.483491501,1.813426956,4.021329361,0.567074459,1.532152504,15.89501182,1.17014144,2.311293145,3.481434585,1.380766588,0.560795062,0.321335804,1.018998132,1.489018073,11.5,13.88752996,11.68,14.69396461,0.000227032
103,103,2022,Chandler Hutchison,25,PHO,SF,3.7,0,0,0.2,0.3,0.3,0.3,0,0.8,0.8,0.3,0,0,0.7,0.2,0.7,268,6.315567804,1.249211303,1.71164349,1.916100642,4.287054778,0.422259678,1.214391578,16.67381268,0.39298125,3.215675205,3.608656455,1.088256819,0.682760582,0.299386759,0.949727956,1.550116713,0.8,13.26497312,1.41,14.27505485,3.49E-05
104,104,2022,Didi Louzada,22,NOP,SF,3.5,0,1.5,0,0,0,0,1,0,1,0.5,0,0,0,0,0,504,5.631119734,0.4522183,0.576272747,1.153307893,3.062095362,0.941072114,3.291569771,20.97847883,0.545693316,1.513767968,2.059461284,1.186544733,0.767809468,0.178705894,1.077061847,1.842042395,0.5,10.34772079,1.95,11.64477461,6.03E-07
105,105,2022,Devontae Cacok,25,SAS,PF,8.3,0,0,2,3,0,0,0.7,2.3,3,0.3,0.6,0.7,0.1,1.1,4,493,3.939049716,0.49934591,0.749931791,1.361032149,2.375570496,0.182481287,0.504695496,9.028657452,0.930570885,1.604332259,2.534903144,0.526271109,0.316130343,0.239000337,0.313978674,0.670617018,13.6,9.257716736,11.85,9.121753518,7.65E-06
106,106,2022,Domantas Sabonis,25,IND,C,34.9,0.8,2.4,6.2,9.8,4.2,5.6,3.1,8.8,11.9,4.7,1,0.4,3,3,18.9,391,20.06829486,3.701406332,4.969422581,6.596612461,11.35368788,0.867950802,2.816576591,34.53569459,2.382344508,8.932698859,11.31504337,5.926895956,0.974026877,0.468393671,3.143151014,3.058817528,41,43.07930691,41.43,43.72080146,0.245083671
107,107,2022,Danilo Gallinari,33,ATL,PF,22.7,1.6,3.9,1.6,3.8,2.1,2.2,0.6,3.7,4.3,1.3,0.5,0.2,0.6,1.4,9.9,196,12.60327147,2.877701537,3.050441562,1.796332144,3.847194189,2.094928093,5.131367562,22.00828396,0.226410574,3.446812957,3.673223531,1.404110545,0.528533989,0.144667397,0.721108365,1.617741702,18.6,21.0614517,18.51,20.41580132,0.000263405
108,108,2022,Will Barton,31,DEN,SG,32.6,2.4,6.4,3.4,7.2,1.3,1.7,0.7,4.3,5,4.2,0.9,0.4,1.9,1.5,15.3,301,11.80245506,1.553672458,1.989728826,2.830110224,6.088620278,1.690275489,4.374103855,27.78375067,0.714023599,3.312806881,4.02683048,3.321587384,0.802747671,0.36922774,1.485998939,1.655631555,30.1,24.02063049,29.6,23.64696001,0.036652957
109,109,2022,Trey Murphy III,21,NOP,SF,13.1,0.9,2.8,0.3,1.1,0.4,0.5,0.7,1.5,2.2,0.6,0.3,0.1,0.3,1,3.9,28,7.553412465,0.862325915,1.106532855,1.541283216,3.017366096,1.255248982,3.437697659,17.13497646,0.40224646,2.071414996,2.473661456,1.327613811,0.644925301,0.374514008,0.769393702,1.659414713,7.6,15.37031406,8.34,14.80215115,5.31E-06
110,110,2022,Luguentz Dort,22,OKC,SF,32.4,2.5,7.7,3.2,6.4,2.8,3.4,0.6,3.4,4,1.7,0.9,0.4,1.5,2.8,16.6,502,13.52216952,2.265596167,3.058366672,2.784537538,5.931050841,1.950232934,5.891541385,28.28927593,0.861279459,2.929769599,3.791049058,1.702293258,0.927837433,0.389971764,1.245230605,2.492530756,25.4,22.30299182,26.35,23.33306526,0.00287443
